,Time,Sentiment,Price
323,20161225,0.399872232,900.1
324,20161224,0.427772603,875.1
325,20161223,0.427772603,911.8
326,20161222,0.427772603,861
327,20161221,0.281648359,861.7
328,20161220,0.281648359,810.8
329,20161219,0.281648359,789.6
330,20161218,0.281648359,794.8
331,20161217,0.281648359,790.7
332,20161216,0.379693674,788.9
333,20161215,0.379693674,780.4
334,20161214,0.379693674,779.9
335,20161213,0.379693674,780.3
336,20161212,0.379693674,779.1
337,20161211,0.379693674,772.7
338,20161210,0.379693674,766.9
339,20161209,0.43782319,770.5
340,20161208,0.43782319,769.2
341,20161207,0.43782319,765.8
342,20161206,0.43782319,753.9
343,20161205,0.43782319,755.7
344,20161204,0.43782319,757.6
345,20161203,0.43782319,765.7
346,20161202,0.293793262,771.3
347,20161201,0.293793262,754
348,20161130,0.293793262,742.4
349,20161129,0.293793262,730.3
350,20161128,0.293793262,730.9
351,20161127,0.293793262,734.8
352,20161126,0.352711004,733.9
353,20161125,0.352711004,737.3
354,20161124,0.352711004,730.2
355,20161123,0.352711004,738.8
356,20161122,0.352711004,745.1
357,20161121,0.352711004,729
358,20161120,0.357951738,727.4
359,20161119,0.357951738,751.4
360,20161118,0.357951738,750.9
361,20161117,0.357951738,740
362,20161116,0.357951738,748.2
363,20161115,0.357951738,711.3
364,20161114,0.381548557,710.1
365,20161113,0.381548557,705.1
366,20161112,0.381548557,694
367,20161111,0.381548557,715
368,20161110,0.424353216,714.5
369,20161109,0.424353216,716.9
370,20161108,0.424353216,742.4
371,20161107,0.424353216,705.3
372,20161106,0.424353216,717.8
373,20161105,0.424353216,717.7
374,20161104,0.374599069,704
375,20161103,0.374599069,688.1
376,20161102,0.374599069,738.6
377,20161101,0.374599069,726.4
378,20161031,0.423512587,712
379,20161030,0.423512587,695
380,20161029,0.423512587,718.6
381,20161028,0.264807139,702.3
382,20161027,0.264807139,685.2
383,20161026,0.428140557,686.8
384,20161025,0.344466571,658
385,20161024,0.344466571,655.1
386,20161023,0.344466571,649.9
387,20161022,0.344466571,648.3
388,20161021,0.344466571,629.8
389,20161020,0.363295419,629.3
390,20161019,0.363295419,628.9
391,20161018,0.363295419,636.7
392,20161017,0.454397913,638.9
393,20161016,0.454397913,638.9
394,20161015,0.264599226,641.9
395,20161014,0.264599226,639
396,20161013,0.264599226,635.1
397,20161012,0.264599226,638
398,20161011,0.231493274,640.1
399,20161010,0.231493274,618.9
400,20161009,0.231493274,617.7
401,20161008,0.231493274,617.2
402,20161007,0.418144766,619.5
403,20161006,0.418144766,613.4
404,20161005,0.418144766,612.7
405,20161004,0.418144766,610
406,20161003,0.3923693,610.4
407,20161002,0.3923693,614.9
408,20161001,0.3923693,613.1
409,20160930,0.3923693,612.3
410,20160929,0.3923693,606.2
411,20160928,0.3923693,605.8
412,20160927,0.366787488,603.5
413,20160926,0.366787488,606.3
414,20160925,0.366787488,601.3
415,20160924,0.366787488,603.2
416,20160923,0.366787488,605.1
417,20160922,0.366787488,596.7
418,20160921,0.366787488,597
419,20160920,0.366787488,599.3
420,20160919,0.419503035,609.3
421,20160918,0.419503035,610.2
422,20160917,0.419503035,607.5
423,20160916,0.419503035,608.2
424,20160915,0.419503035,606
425,20160914,0.305838763,607.5
426,20160913,0.305838763,608.4
427,20160912,0.305838763,608.7
428,20160911,0.305838763,608.7
429,20160910,0.305838763,623
430,20160909,0.305838763,620.1
431,20160908,0.305838763,622
432,20160907,0.305838763,614.8
433,20160906,0.305838763,610.6
434,20160905,0.305838763,606.8
435,20160904,0.277033492,609.3
436,20160903,0.277033492,598.7
437,20160902,0.277033492,575.4
438,20160901,0.277033492,570.9
439,20160831,0.277033492,572.6
440,20160830,0.277033492,572.6
441,20160829,0.277033492,575.4
442,20160828,0.277033492,574.5
443,20160827,0.277033492,571.6
444,20160826,0.277033492,575.9
445,20160825,0.277033492,576.2
446,20160824,0.277033492,574.5
447,20160823,0.277033492,578.7
448,20160822,0.277033492,585.9
449,20160821,0.277033492,580.9
450,20160820,0.277033492,583.9
451,20160819,0.123971045,574.5
452,20160818,0.123971045,572.9
453,20160817,0.123971045,574.2
454,20160816,0.123971045,579.1
455,20160815,0.123971045,567.5
456,20160814,0.123971045,572.3
457,20160813,0.123971045,586.5
458,20160812,0.123971045,588.4
459,20160811,0.123971045,590.2
460,20160810,0.123971045,593.1
461,20160809,0.123971045,584.6
462,20160808,0.123971045,588.7
463,20160807,0.18154181,591.1
464,20160806,0.18154181,593.9
465,20160805,0.18154181,579
466,20160804,0.18154181,572.8
467,20160803,0.183626473,582.8
468,20160802,0.393343448,543.6
469,20160801,0.191212524,603.5
470,20160731,0.191212524,633.4
471,20160730,0.283680027,636
472,20160729,0.283680027,657.4
473,20160728,0.281417901,657.5
474,20160727,0.281417901,657
475,20160726,0.343139628,655.8
476,20160725,0.343139628,647
477,20160724,0.271121926,660
478,20160723,0.271121926,656.7
479,20160722,0.271121926,659
480,20160721,0.271121926,669.3
481,20160720,0.271121926,664.9
482,20160719,0.239008041,671.9
483,20160718,0.239008041,675.6
484,20160717,0.239008041,681.5
485,20160716,0.278661738,669.4
486,20160715,0.278661738,669.3
487,20160714,0.278661738,660.9
488,20160713,0.245932335,655.9
489,20160712,0.245932335,669.3
490,20160711,0.245932335,650.1
491,20160710,0.245932335,651.4
492,20160709,0.254662235,650.9
493,20160708,0.254662235,659.1
494,20160707,0.254662235,641.4
495,20160706,0.237776538,650.1
496,20160705,0.155079545,671
497,20160704,0.254368785,678.3
498,20160703,0.223861297,666.1
499,20160702,0.223861297,690.9
500,20160701,0.268631538,680.6
501,20160630,0.268631538,684
502,20160629,0.268631538,639.7
503,20160628,0.360253549,637.3
504,20160627,0.27628626,648.6
505,20160626,0.27628626,657.9
506,20160625,0.364055733,662.2
507,20160624,0.364055733,683.2
508,20160623,0.342823488,674
509,20160622,0.292207626,594.9
510,20160621,0.189255197,651
511,20160620,0.189255197,704.8
512,20160619,0.354041287,763.1
513,20160618,0,757.3
514,20160617,0.365134537,750
515,20160616,0.191118478,718.8
516,20160615,0.191118478,699.2
517,20160614,0.191118478,683.5
518,20160613,0.445918317,690.9
519,20160612,0.445918317,680.6
520,20160611,0.445918317,636.3
521,20160610,0.445918317,585.8
522,20160609,0.445918317,577.7
523,20160608,0.263366978,580.2
524,20160607,0.263366978,573.8
525,20160606,0.263366978,586.3
526,20160605,0.263366978,583.5
527,20160604,0.172381671,580.8
528,20160603,0.172381671,580
529,20160602,0.172381671,536.9
530,20160601,0.172381671,538.2
531,20160531,0.373857506,527.2
532,20160530,0.373857506,533.8
533,20160529,0.373857506,528.8
534,20160528,0.373857506,520
535,20160527,0.245499395,493.2
536,20160526,0.305600508,473.3
537,20160525,0.305600508,450.6
538,20160524,0.305600508,449.1
539,20160523,0.195959373,446.2
540,20160522,0.195959373,442.9
541,20160521,0.195959373,445.1
542,20160520,0.228185816,444.8
543,20160519,0.228185816,442.4
544,20160518,0.228185816,455.5
545,20160517,0.335642816,456.5
546,20160516,0.335642816,456.5
547,20160515,0.335642816,458.7
548,20160514,0.335642816,460
549,20160513,0.453360314,457.6
550,20160512,0.358786981,455.8
551,20160511,0.358786981,456.5
552,20160510,0.358786981,455.6
553,20160509,0.358786981,462
554,20160508,0.358786981,459.8
555,20160507,0.291440921,462.7
556,20160506,0.291440921,460.2
557,20160505,0.291440921,449
558,20160504,0.291440921,448.5
559,20160503,0.256103,449
560,20160502,0.304422581,447
561,20160501,0.304422581,456.9
562,20160430,0.304422581,454.3
563,20160429,0.275968162,455.1
564,20160428,0.275968162,450.3
565,20160427,0.275968162,443.3
566,20160426,0.275968162,470.1
567,20160425,0.275968162,468.5
568,20160424,0.275968162,464.9
569,20160423,0.338230578,458.4
570,20160422,0.338230578,447.6
571,20160421,0.338230578,446.9
572,20160420,0.399432682,440
573,20160419,0.401989303,437.7
574,20160418,0.376044967,431.8
575,20160417,0.376044967,433.3
576,20160416,0.376044967,433.9
577,20160415,0.284137379,433.2
578,20160414,0.284137379,426.1
579,20160413,0.284137379,425.3
580,20160412,0.284137379,428.7
581,20160411,0.284137379,429.4
582,20160410,0.518509504,421.8
583,20160409,0.518509504,420.8
584,20160408,0.518509504,417.6
585,20160407,0.248663017,422.1
586,20160406,0.248663017,421.8
587,20160405,0.248663017,422
588,20160404,0.248663017,422.4
589,20160403,0.248663017,419.9
590,20160402,0.37766661,419.3
591,20160401,0.37766661,419
592,20160331,0.446911245,415.4
593,20160330,0.35660894,414
594,20160329,0.360294582,413
595,20160328,0.360294582,423.5
596,20160327,0.25090853,423.5
597,20160326,0.25090853,416.9
598,20160325,0.25090853,416.1
599,20160324,0.25090853,413.8
600,20160323,0.298069206,415.9
601,20160322,0.298069206,417.3
602,20160321,0.298069206,415.9
603,20160320,0.263218845,408.9
604,20160319,0.263218845,410.6
